Counties,FIPS,turnout
Apache,04001,50.55
Cochise,04003,63.07
Coconino,04005,65.69
Gila,04007,68.30
Graham,04009,58.20
Greenlee,04011,55.89
La Paz,04012,49.37
Maricopa,04013,62.63
Mohave,04015,59.54
Navajo,04017,57.02
Pima,04019,69.74
Pinal ,04021,56.30
Santa Cruz,04023,47.05
Yavapai,04025,75.95
Yuma,04027,48.26
